,Unnamed: 0_x,English,Chinese_Google,Dict_Acc_Google,Terms_Google,Correct_Terms_Google,Unnamed: 0_y,Chinese_M2M,Dict_Acc_M2M,Terms_M2M,Correct_Terms_M2M,Unnamed: 0,Chinese_GPT,Dict_Acc_GPT,Terms_GPT,Correct_Terms_GPT,Human Eval Google,Human Eval M2M,Human Eval Medical M2M,Human Eval GPT
750,745,the dose of roxadustat was escalated every 4 weeks to maintain a hemoglobin level ranging from 10.0 to 12.0 g per deciliter ( Table S2 in the Supplementary Appendix ) .,罗沙司他的剂量每 4 周增加一次，以将血红蛋白水平维持在 10.0 至 12.0 g/dL（补充附录表 S2）。,0.3636363636363636,"['appendix', 'table', 'deciliter', 'maintain', 'supplementary', 'hemoglobin level', '4', 'roxadustat', 'dose', 'S2', 'to']","['table', 'maintain', 'roxadustat', 'dose']",745,"['每4周,Roxadustat的剂量增加,以保持每分升10.0至12.0g的血球水平(附件中的S2表)。']",0.2727272727272727,"['appendix', 'table', 'deciliter', 'maintain', 'supplementary', 'hemoglobin level', '4', 'roxadustat', 'dose', 'S2', 'to']","['appendix', 'table', 'dose']",745,roxadustat的剂量每4周递增，以维持血红蛋白水平在10.0-12.0g/分升之间（见表S2在附加附件中）。,0.3636363636363636,"['appendix', 'table', 'deciliter', 'maintain', 'supplementary', 'hemoglobin level', '4', 'roxadustat', 'dose', 'S2', 'to']","['appendix', 'table', 'maintain', 'dose']",,,,
751,746,the adjustment of the placebo dose was carried out in the same manner .,安慰剂剂量的调整同法进行。,0.3333333333333333,"['placebo', 'adjustment', 'manner', 'dose', 'in', 'out']","['placebo', 'dose']",746,['placebo 剂量的调整也以相同的方式进行。'],0.1666666666666666,"['placebo', 'adjustment', 'manner', 'dose', 'in', 'out']",['dose'],746,调整安慰剂剂量的方式相同。,0.3333333333333333,"['placebo', 'adjustment', 'manner', 'dose', 'in', 'out']","['placebo', 'dose']",,,,
752,747,"investigators were asked to record abnormal , clinically significant laboratory results , physical examination findings , and electrocardiographic results as adverse events if such findings were deemed to meet the criteria for adverse events .",研究人员被要求将异常的、具有临床意义的实验室结果、体格检查结果和心电图结果记录为不良事件，如果这些发现被认为符合不良事件的标准。,0.5555555555555556,"['record', 'abnormal', 'physical examination', 'adverse', 'laboratory', 'as', 'if', 'and', 'electrocardiographic']","['record', 'abnormal', 'laboratory', 'as', 'electrocardiographic']",747,"['研究人员被要求记录异常、临床上有意义的实验室结果、物理检查结果和电心学结果作为不良事件,如果这些发现被认为符合不良事件的标准。']",0.4444444444444444,"['record', 'abnormal', 'physical examination', 'adverse', 'laboratory', 'as', 'if', 'and', 'electrocardiographic']","['record', 'abnormal', 'laboratory', 'as']",747,调查人员被要求记录异常、临床上显着的实验室结果、体格检查结果和心电图结果，如果这些结果被认为符合不良事件的标准，则将其记录为不良事件。,0.5555555555555556,"['record', 'abnormal', 'physical examination', 'adverse', 'laboratory', 'as', 'if', 'and', 'electrocardiographic']","['record', 'abnormal', 'laboratory', 'as', 'electrocardiographic']",,,,
753,748,"we performed an analysis of covariance to estimate and compare the difference between the groups in the change from baseline in the hemoglobin level , with missing data handled with the use of multiple imputations in a sensitivity analysis .",我们进行了协方差分析，以估计和比较各组之间血红蛋白水平相对于基线的变化差异，并在敏感性分析中使用多重插补处理缺失数据。,0.4666666666666667,"['data', 'baseline', 'multiple', 'difference', 'hemoglobin level', 'estimate', 'compare', 'change', 'with', 'sensitivity', 'analysis of covariance', 'to', 'and', 'missing', 'we']","['data', 'baseline', 'difference', 'compare', 'change', 'to', 'missing']",748,"['我们进行了可视性分析,以估计和比较从基层到血球水平的变化中的群体之间的差异,缺少的数据处理了在敏感性分析中使用多种假设。']",0.3333333333333333,"['data', 'baseline', 'multiple', 'difference', 'hemoglobin level', 'estimate', 'compare', 'change', 'with', 'sensitivity', 'analysis of covariance', 'to', 'and', 'missing', 'we']","['data', 'difference', 'compare', 'change', 'missing']",748,我们进行了协方差分析，估计并比较了两组在基线血红蛋白水平变化上的差异，并在敏感性分析中使用了多元插补方法来处理缺失数据。,0.4,"['data', 'baseline', 'multiple', 'difference', 'hemoglobin level', 'estimate', 'compare', 'change', 'with', 'sensitivity', 'analysis of covariance', 'to', 'and', 'missing', 'we']","['data', 'baseline', 'difference', 'compare', 'change', 'missing']",,,,
754,749,we performed an analysis of covariance to calculate the change from baseline in hepcidin at week 9 .,我们进行了协方差分析，以计算第 9 周铁调素相对于基线的变化。,0.8333333333333334,"['baseline', 'week', 'change', 'analysis of covariance', 'calculate', 'to']","['baseline', 'week', 'change', 'calculate', 'to']",749,"['我们进行了一项可视性分析,以计算从基线到Hepcidin的变化,在第9周。']",0.6666666666666666,"['baseline', 'week', 'change', 'analysis of covariance', 'calculate', 'to']","['baseline', 'week', 'change', 'calculate']",749,我们对协方差进行了分析，以计算9周时肝铁蛋白的基线变化。,0.6666666666666666,"['baseline', 'week', 'change', 'analysis of covariance', 'calculate', 'to']","['baseline', 'week', 'change', 'calculate']",,,,
755,750,we report the values for the secondary analyses as point estimates and 95 % confidence intervals .,我们将二次分析的值报告为点估计值和 95% 置信区间。,0.2222222222222222,"['report', 'secondary', 'values', 'point', 'as', 'confidence', 'and', 'intervals', 'we']","['report', 'point']",750,['我们将二次分析的值报告为点估计和95%的信任间隔。'],0.2222222222222222,"['report', 'secondary', 'values', 'point', 'as', 'confidence', 'and', 'intervals', 'we']","['report', 'point']",750,我们将次要分析的结果报告为点估计值和95%的置信区间。,0.2222222222222222,"['report', 'secondary', 'values', 'point', 'as', 'confidence', 'and', 'intervals', 'we']","['report', 'point']",,,,
756,751,"the confidence intervals have not been adjusted for multiple comparisons , so inferences drawn from them may not be reproducible .",置信区间未针对多重比较进行调整，因此从中得出的推论可能无法重现。,0.1666666666666666,"['multiple', 'be', 'confidence', 'have not', 'so', 'intervals']",['have not'],751,"['信任间隔未适用于多个比较,因此从中提取的结论可能无法重复。']",0.1666666666666666,"['multiple', 'be', 'confidence', 'have not', 'so', 'intervals']",['have not'],751,这些置信区间未经过多重比较调整，因此从中得出的结论可能无法复制。,0.1666666666666666,"['multiple', 'be', 'confidence', 'have not', 'so', 'intervals']",['have not'],,,,
757,752,"of these patients , 2 did not receive a trial regimen , leaving 152 in the safety population .",在这些患者中，有 2 名未接受试验方案，剩下 152 名在安全人群中。,0.6,"['safety', 'population', '2', 'trial', 'in']","['safety', 'population', '2']",752,"['这些病人中有2人没有接受试验制度,在安全人口中留下了152人。']",0.6,"['safety', 'population', '2', 'trial', 'in']","['safety', 'population', '2']",752,这些病人中，有2人没有接受试验方案，剩下152人在安全性研究人群中。,0.6,"['safety', 'population', '2', 'trial', 'in']","['safety', 'population', '2']",,,,
758,753,the baseline characteristics were similar in the two groups ( Table 1 ) .,两组的基线特征相似（表 1）。,0.8333333333333334,"['table', 'baseline', '1', 'characteristics', 'two', 'similar']","['table', 'baseline', '1', 'characteristics', 'two']",753,['基线特征在两组中是相似的(图1)。'],0.8333333333333334,"['table', 'baseline', '1', 'characteristics', 'two', 'similar']","['baseline', '1', 'characteristics', 'two', 'similar']",753,基线特征在两组中相似(表1)。,0.8333333333333334,"['table', 'baseline', '1', 'characteristics', 'two', 'similar']","['table', 'baseline', '1', 'characteristics', 'two']",,,,
759,754,the mean baseline hemoglobin level was 8.9 ± 0.8 g per deciliter in the roxadustat group and 8.9 ± 0.7 g per deciliter in the placebo group .,罗沙司他组的平均基线血红蛋白水平为每分升 8.9 ± 0.8 克，安慰剂组为每分升 8.9 ± 0.7 克。,0.625,"['group', 'placebo', 'mean', 'baseline', 'deciliter', 'hemoglobin level', 'roxadustat', 'and']","['group', 'placebo', 'mean', 'baseline', 'roxadustat']",754,"['平均基因血糖水平在Roxadustat组中为8.9 ± 0.8 克,在 placebo组中为8.9 ± 0.7 克。']",0.25,"['group', 'placebo', 'mean', 'baseline', 'deciliter', 'hemoglobin level', 'roxadustat', 'and']","['group', 'mean']",754,在roxadustat组，平均基线血红蛋白水平为8.9±0.8克每分升，在安慰剂组为8.9±0.7克每分升。,0.5,"['group', 'placebo', 'mean', 'baseline', 'deciliter', 'hemoglobin level', 'roxadustat', 'and']","['group', 'placebo', 'mean', 'baseline']",,,,
760,755,"of note , 82 of 152 patients ( 54 % ) had a transferrin saturation of 20 % or more , and 58 patients ( 38 % ) had a ferritin level of 200 μg per liter or more .",值得注意的是，152 名患者中有 82 名 (54%) 的转铁蛋白饱和度为 20% 或更高，58 名患者 (38%) 的铁蛋白水平为 200 μg/L 或更高。,0.7142857142857143,"['ferritin', 'transferrin', 'liter', 'saturation', 'note', 'level', 'and']","['ferritin', 'transferrin', 'saturation', 'note', 'level']",755,"['值得注意的是,152名患者中有82人(54%)患有20%或以上的转移林饱和,58人(38%)患有200 μg或以上的费里丁。']",0.2857142857142857,"['ferritin', 'transferrin', 'liter', 'saturation', 'note', 'level', 'and']","['saturation', 'note']",755,值得注意的是，152名患者中有82名（54%）的转铁蛋白饱和度达到了20%或更高，而58名患者（38%）的铁素水平达到了200微克/升或更高。,1.0,"['ferritin', 'transferrin', 'liter', 'saturation', 'note', 'level', 'and']","['ferritin', 'transferrin', 'liter', 'saturation', 'note', 'level', 'and']",,,,
761,756,randomized PHASE,随机阶段,,[],[],756,['随机阶段'],,[],[],756,随机阶段,,[],[],,,,
762,757,"rescue therapy was administered to 3 patients ( 3 % ) in the roxadustat group and 6 patients ( 12 % ) in the placebo group ( hazard ratio , 0.11 ; 95 % CI , 0.02 to 0.51 ) .",对罗沙司他组的 3 名患者 (3%) 和安慰剂组的 6 名患者 (12%) 进行了挽救治疗（风险比，0.11；95% CI，0.02 至 0.51）。,0.4545454545454545,"['group', 'placebo', 'hazard ratio', 'therapy', '3', 'roxadustat', 'CI', 'in', 'to', 'and', 'rescue']","['group', 'placebo', 'hazard ratio', 'therapy', 'roxadustat']",757,"['救生疗法适用于Roxadustat群体的3名患者(3%)和 placebo群体的6名患者(12%)(风险比例,0.11;95% CI,0.02至0.51)。']",0.3636363636363636,"['group', 'placebo', 'hazard ratio', 'therapy', '3', 'roxadustat', 'CI', 'in', 'to', 'and', 'rescue']","['group', 'hazard ratio', 'therapy', 'to']",757,救治疗法被给予3名患者（3％）在roxadustat组和6名患者（12％）在安慰剂组（危险比，0.11；95％CI，0.02至0.51）。,0.2727272727272727,"['group', 'placebo', 'hazard ratio', 'therapy', '3', 'roxadustat', 'CI', 'in', 'to', 'and', 'rescue']","['group', 'placebo', 'therapy']",,,,
763,758,hepcidin and Iron Levels,铁调素和铁水平,0.5,"['iron', 'and']",['iron'],758,['Hepcidin 和 Iron 水平'],0.0,"['iron', 'and']",[],758,"Hepcidin is a hormone that regulates iron levels in the body. High levels of hepcidin can lead to iron deficiency, while low levels can lead to iron overload.",0.0,"['iron', 'and']",[],,,,
764,759,"among patients in the roxadustat group , the serum iron level was clinically stable during the randomized phase and did not differ significantly from the level in the placebo group , despite robust erythropoiesis ( Table 2 ) .",在罗沙司他组的患者中，血清铁水平在随机阶段临床稳定，与安慰剂组的水平无显着差异，尽管红细胞生成强劲（表 2）。,0.7142857142857143,"['group', 'erythropoiesis', 'placebo', 'table', 'phase', '2', 'serum', 'differ', 'level', 'despite', 'roxadustat', 'iron', 'in', 'and']","['group', 'erythropoiesis', 'placebo', 'table', 'phase', '2', 'serum', 'level', 'roxadustat', 'iron']",759,"['在Roxadustat群体的患者中,血清铁水平在随机阶段临床上稳定,并且与 placebo群体的水平没有显著差异,尽管强烈的甲状腺炎(图2)。']",0.4285714285714285,"['group', 'erythropoiesis', 'placebo', 'table', 'phase', '2', 'serum', 'differ', 'level', 'despite', 'roxadustat', 'iron', 'in', 'and']","['group', 'phase', '2', 'serum', 'level', 'iron']",759,"在roxadustat组的患者中，血清铁水平在随机阶段是稳定的，并且与安慰剂组相比没有显著差异，尽管有强有力的红细胞生成。

Chinese:

在roxadustat组的患者中，血清铁水平在随机阶段是稳定的，并且与安慰剂组相比没有显著差异，尽管有强有力的红细胞生成（表2）。",0.6428571428571429,"['group', 'erythropoiesis', 'placebo', 'table', 'phase', '2', 'serum', 'differ', 'level', 'despite', 'roxadustat', 'iron', 'in', 'and']","['group', 'erythropoiesis', 'placebo', 'table', 'phase', '2', 'serum', 'level', 'iron']",,,,
765,760,"in the roxadustat group , transferrin levels and total iron binding capacity increased , with a temporary decrease in the transferrin saturation from 20.6 % to 15.6 % at week 9 during a period of increased iron utilization in which the mean increase in hemoglobin was 1.9 g per deciliter .",在roxadustat组中，转铁蛋白水平和总铁结合力增加，转铁蛋白饱和度在第9周从20.6 %暂时下降至15.6 %，期间铁利用增加，血红蛋白平均增加1.9 g/dL。 .,0.5263157894736842,"['group', 'capacity', 'period', 'transferrin', 'decrease', 'mean', 'utilization', 'temporary', 'hemoglobin', 'deciliter', 'total', 'saturation', 'week', 'increase', 'with', 'roxadustat', 'binding', 'iron', 'and']","['group', 'period', 'transferrin', 'mean', 'utilization', 'hemoglobin', 'saturation', 'week', 'binding', 'iron']",760,"['在Roxadustat群体中,转移素水平和总铁粘容量增加,转移素饱和量从9周的20.6%减少到15.6%在增加铁使用期间,平均血球含量增加为1.9g每分升。']",0.4210526315789473,"['group', 'capacity', 'period', 'transferrin', 'decrease', 'mean', 'utilization', 'temporary', 'hemoglobin', 'deciliter', 'total', 'saturation', 'week', 'increase', 'with', 'roxadustat', 'binding', 'iron', 'and']","['group', 'capacity', 'period', 'decrease', 'mean', 'saturation', 'week', 'iron']",760,在roxadustat组，转铁蛋白水平和总铁结合能力增加，转铁蛋白饱和度在明显增加的铁利用期间（红细胞增加1.9克/分升）暂时从20.6％下降到15.6％。,0.4210526315789473,"['group', 'capacity', 'period', 'transferrin', 'decrease', 'mean', 'utilization', 'temporary', 'hemoglobin', 'deciliter', 'total', 'saturation', 'week', 'increase', 'with', 'roxadustat', 'binding', 'iron', 'and']","['group', 'capacity', 'period', 'transferrin', 'utilization', 'saturation', 'binding', 'iron']",,,,
766,761,"in the placebo group , iron levels and related measures on average were stable during the randomized phase .",在安慰剂组中，铁水平和相关指标在随机阶段平均保持稳定。,0.7142857142857143,"['group', 'placebo', 'average', 'phase', 'iron', 'in', 'and']","['group', 'placebo', 'average', 'phase', 'iron']",761,"['在 placebo 群体中,铁水平和相关测量平均在随机阶段保持稳定。']",0.5714285714285714,"['group', 'placebo', 'average', 'phase', 'iron', 'in', 'and']","['group', 'average', 'phase', 'iron']",761,在安慰剂组，铁水平和相关措施平均在随机阶段保持稳定。,0.7142857142857143,"['group', 'placebo', 'average', 'phase', 'iron', 'in', 'and']","['group', 'placebo', 'average', 'phase', 'iron']",,,,
767,762,cholesterol Levels,胆固醇水平,1.0,['cholesterol'],['cholesterol'],762,['胆固醇水平'],1.0,['cholesterol'],['cholesterol'],762,Cholesterol levels,0.0,['cholesterol'],[],,,,
768,763,"at baseline , the mean total cholesterol level was 172.8 ± 45.8 mg per deciliter ( 4.5 ± 1.2 mmol per liter ) in the roxadustat group and 181.4 ± 49.0 mg per deciliter ( 4.7 ± 1.3 mmol per liter ) in the placebo group .",基线时，罗沙司他组的平均总胆固醇水平为 172.8 ± 45.8 毫克每分升（4.5 ± 1.2 毫摩尔每升），安慰剂组为 181.4 ± 49.0 毫克每分升（4.7 ± 1.3 毫摩尔每升）。,0.7,"['cholesterol', 'group', 'placebo', 'mean', 'baseline', 'deciliter', 'total', 'level', 'roxadustat', 'and']","['cholesterol', 'group', 'placebo', 'mean', 'baseline', 'level', 'roxadustat']",763,"['在基线上,平均总胆固醇水平为172.8 ± 45.8 毫克(4.5 ± 1.2 mmol 每升)在 roxadustat 组和181.4 ± 49.0 毫克(4.7 ± 1.3 mmol 每升)在 placebo 组。']",0.5,"['cholesterol', 'group', 'placebo', 'mean', 'baseline', 'deciliter', 'total', 'level', 'roxadustat', 'and']","['cholesterol', 'group', 'mean', 'baseline', 'level']",763,在基线时，罗沙达斯特组的平均总胆固醇水平为172.8±45.8毫克/分升（4.5±1.2毫摩尔/升），而安慰剂组为181.4±49.0毫克/分升（4.7±1.3毫摩尔/升）。,0.7,"['cholesterol', 'group', 'placebo', 'mean', 'baseline', 'deciliter', 'total', 'level', 'roxadustat', 'and']","['cholesterol', 'group', 'placebo', 'mean', 'baseline', 'level', 'and']",,,,
769,764,safety and Adverse Events,安全和不良事件,0.3333333333333333,"['safety', 'adverse', 'and']",['safety'],764,['安全和不良事件'],0.3333333333333333,"['safety', 'adverse', 'and']",['safety'],764,"safety and Adverse Events

中文:

安全性和不良事件",0.3333333333333333,"['safety', 'adverse', 'and']",['safety'],,,,
770,765,one patient in each group discontinued participation in the trial because of hyperkalemia .,每组中有一名患者因高钾血症而停止参与试验。,0.5714285714285714,"['group', 'hyperkalemia', 'patient', 'trial', 'participation', 'each', 'in']","['group', 'hyperkalemia', 'patient', 'participation']",765,['每个群体中有1名患者因催眠症而停止参加试验。'],0.2857142857142857,"['group', 'hyperkalemia', 'patient', 'trial', 'participation', 'each', 'in']","['group', 'patient']",765,"一组患者因高钾血症而退出了试验。

中文：

每组有一位患者因高钾血症而退出了本次试验。",0.4285714285714285,"['group', 'hyperkalemia', 'patient', 'trial', 'participation', 'each', 'in']","['group', 'hyperkalemia', 'patient']",,,,
771,766,local laboratory values were not collected .,未收集当地实验室值。,0.3333333333333333,"['local', 'laboratory', 'values']",['laboratory'],766,['當地實驗室價值未被收集。'],0.0,"['local', 'laboratory', 'values']",[],766,"local laboratory values were not collected.

Chinese:
当地实验室数值未收集。",0.3333333333333333,"['local', 'laboratory', 'values']",['laboratory'],,,,
772,767,"in the roxadustat group , the percentages of patients with a serum bicarbonate level of 21 mmol per liter or less were 92 % at baseline and 91 % at 9 weeks .",在罗沙司他组中，血清碳酸氢盐水平为 21 毫摩尔/升或更低的患者百分比在基线时为 92%，在 9 周时为 91%。,0.7777777777777778,"['group', 'liter', 'bicarbonate', 'baseline', 'serum', 'level', 'with', 'roxadustat', 'and']","['group', 'liter', 'bicarbonate', 'baseline', 'serum', 'level', 'roxadustat']",767,"['在 roxadustat 群体中,血清二氧化碳含量为 21 mmol 或低于 1 升的患者的百分比在基线上为 92%,在 9 周内为 91 %.']",0.4444444444444444,"['group', 'liter', 'bicarbonate', 'baseline', 'serum', 'level', 'with', 'roxadustat', 'and']","['group', 'liter', 'baseline', 'serum']",767,在roxadustat组，基线时血清碳酸氢盐水平为21毫克/升或更低的患者百分比为92％，9周时为91％。,0.6666666666666666,"['group', 'liter', 'bicarbonate', 'baseline', 'serum', 'level', 'with', 'roxadustat', 'and']","['group', 'liter', 'bicarbonate', 'baseline', 'serum', 'level']",,,,
773,768,"in the placebo group , the percentages were 96 % at baseline and 89 % at 9 weeks ( Table S4 in the Supplementary Appendix ) .",在安慰剂组中，该百分比在基线时为 96%，在 9 周时为 89%（补充附录表 S4）。,0.4444444444444444,"['group', 'placebo', 'appendix', 'table', 'baseline', 'supplementary', 'at', 'S4', 'and']","['group', 'placebo', 'table', 'baseline']",768,"['在 placebo 群体中,百分比为 96% 基线和 89% 9 周(附件中的 S4 表)。']",0.4444444444444444,"['group', 'placebo', 'appendix', 'table', 'baseline', 'supplementary', 'at', 'S4', 'and']","['group', 'appendix', 'table', 'baseline']",768,在安慰剂组，基线时的百分比为96％，而9周时则为89％（见补充附件表S4）。,0.6666666666666666,"['group', 'placebo', 'appendix', 'table', 'baseline', 'supplementary', 'at', 'S4', 'and']","['group', 'placebo', 'appendix', 'table', 'baseline', 'and']",,,,
774,769,"serious adverse events , which were consistent with those generally seen in patients with chronic kidney disease , were reported in 9 patients ( 9 % ) in the roxadustat group and in 6 patients ( 12 % ) in the placebo group ( Table 3 ) .",罗沙司他组 9 名患者 (9%) 和安慰剂组 6 名患者 (12%) 报告了与慢性肾病患者常见的严重不良事件（表 3）。,0.5384615384615384,"['group', 'placebo', 'kidney', 'disease', 'table', 'adverse', 'chronic', '3', 'with', 'roxadustat', 'serious', 'in', 'and']","['group', 'placebo', 'kidney', 'disease', 'table', 'chronic', 'roxadustat']",769,"['严重的副作用,与患有慢性肾脏疾病的患者常见相一致,报告了9名患者(9%)在Roxadustat群体和6名患者(12%)在 placebo群体(图3)。']",0.3076923076923077,"['group', 'placebo', 'kidney', 'disease', 'table', 'adverse', 'chronic', '3', 'with', 'roxadustat', 'serious', 'in', 'and']","['group', 'kidney', 'disease', 'chronic']",769,严重的不良事件在罗莎达司组的9名患者（9%）和安慰剂组的6名患者（12%）中均报告，与慢性肾脏病患者通常观察到的情况一致（表3）。,0.4615384615384615,"['group', 'placebo', 'kidney', 'disease', 'table', 'adverse', 'chronic', '3', 'with', 'roxadustat', 'serious', 'in', 'and']","['group', 'placebo', 'kidney', 'disease', 'table', 'chronic']",,,,
775,770,there were no deaths during the randomized phase of the trial .,在试验的随机阶段没有死亡。,0.3333333333333333,"['phase', 'no', 'trial']",['phase'],770,['在审判的随机阶段没有死亡。'],0.6666666666666666,"['phase', 'no', 'trial']","['phase', 'trial']",770,在随机化阶段，没有发生死亡事件。,0.3333333333333333,"['phase', 'no', 'trial']",['phase'],,,,
776,771,an increase in the level of alanine aminotransferase ( ALT ) or aspartate aminotransferase ( AST ) occurred in 2 patients in the roxadustat group and 1 patient in the placebo group ( 2 % in each group ) .,丙氨酸氨基转移酶 (ALT) 或天冬氨酸氨基转移酶 (AST) 水平升高发生在罗沙司他组 2 名患者和安慰剂组 1 名患者（每组 2%）。,0.5714285714285714,"['group', 'placebo', '1', '2', 'alanine aminotransferase', 'AST', 'ALT', 'aspartate aminotransferase', 'patient', 'level', 'increase', 'roxadustat', 'each', 'and']","['group', 'placebo', '1', '2', 'alanine aminotransferase', 'patient', 'level', 'roxadustat']",771,['阿拉丁氨基转移剂(ALT)或阿斯帕特氨基转移剂(AST)的水平增加发生在罗克萨多斯塔特群体的2名患者和 placebo群体的1名患者(每个群体的2%)。'],0.3571428571428571,"['group', 'placebo', '1', '2', 'alanine aminotransferase', 'AST', 'ALT', 'aspartate aminotransferase', 'patient', 'level', 'increase', 'roxadustat', 'each', 'and']","['group', '1', '2', 'patient', 'level']",771,在roxadustat组，2名病人的丙氨酸转移酶（ALT）或天门冬氨酸转移酶（AST）水平升高，在安慰剂组1名病人（分别为两组的2％）。,0.4285714285714285,"['group', 'placebo', '1', '2', 'alanine aminotransferase', 'AST', 'ALT', 'aspartate aminotransferase', 'patient', 'level', 'increase', 'roxadustat', 'each', 'and']","['group', 'placebo', '1', '2', 'patient', 'level']",,,,
777,772,"in the roxadustat group , 1 patient who had a grade 1 elevation in ALT and AST had a spontaneous normalization in the level without any change in the drug regimen ; a second patient had a grade 2 elevation in ALT and AST that was reported 2 days after receipt of the last dose of roxadustat during the trial while the patient was receiving concomitant medications known to be associated with an elevation in liver enzyme levels .",在罗沙司他组中，1 名 ALT 和 AST 出现 1 级升高的患者在药物治疗方案没有任何变化的情况下自发恢复正常；第二名患者的 ALT 和 AST 出现 2 级升高，在试验期间接受最后一剂 roxadustat 后 2 天报告，当时该患者正在接受已知与肝酶水平升高相关的伴随药物治疗。,0.4482758620689655,"['group', 'liver', 'elevation', 'enzyme', 'who', '1', '2', 'spontaneous', 'AST', 'grade', 'ALT', 'be', 'concomitant', 'associated', 'normalization', 'patient', 'after', 'trial', 'level', 'change', 'drug', 'roxadustat', 'dose', 'second', 'that', 'in', 'to', 'and', 'without']","['group', 'liver', 'enzyme', '1', '2', 'be', 'patient', 'after', 'level', 'change', 'drug', 'roxadustat', 'in']",772,"['在Roxadustat群体中,1名患有1级 ALT 和 AST 的患者在药物制度中没有任何变化的情况下在水平上自发正常化;2名患有2级 ALT 和 AST 的患者在测试期间接收Roxadustat的最后剂量后近2天,而患者在接受同步药物时已知与肝酶水平的上升有关。']",0.5517241379310345,"['group', 'liver', 'elevation', 'enzyme', 'who', '1', '2', 'spontaneous', 'AST', 'grade', 'ALT', 'be', 'concomitant', 'associated', 'normalization', 'patient', 'after', 'trial', 'level', 'change', 'drug', 'roxadustat', 'dose', 'second', 'that', 'in', 'to', 'and', 'without']","['group', 'liver', 'elevation', 'enzyme', '1', '2', 'grade', 'be', 'normalization', 'patient', 'after', 'level', 'change', 'drug', 'dose', 'and']",772,在roxadustat组中，1名患有1级高脂肪水解酶水平升高的病人在药物方案没有任何变化的情况下自行正常化；第2名患者在试验期间在接受共同药物治疗期间接受最后一剂roxadustat治疗2天后报告肝脏酶水平升高2级。,0.4137931034482758,"['group', 'liver', 'elevation', 'enzyme', 'who', '1', '2', 'spontaneous', 'AST', 'grade', 'ALT', 'be', 'concomitant', 'associated', 'normalization', 'patient', 'after', 'trial', 'level', 'change', 'drug', 'roxadustat', 'dose', 'second', 'that', 'in', 'to', 'and', 'without']","['group', 'liver', 'enzyme', '1', '2', 'be', 'normalization', 'patient', 'after', 'level', 'change', 'drug']",,,,
778,773,"among the patients who had initially received placebo , the mean hemoglobin level increased from baseline by 2.0 ± 1.5 g per deciliter after crossover to receive roxadustat ; 31 of 43 patients ( 72 % ) had a hemoglobin level of more than 11.0 g per deciliter , and 37 ( 86 % ) had a hemoglobin level of 10.0 g per deciliter or more during weeks 23 through 27 .",在最初接受安慰剂的患者中，平均血红蛋白水平在交叉接受罗沙司他后较基线增加了 2.0 ± 1.5 g/dL； 43 名患者中有 31 名 (72%) 的血红蛋白水平超过 11.0 g/dL，37 名 (86%) 在第 23 至 27 周期间血红蛋白水平为 10.0 g/dL 或更高。,0.4545454545454545,"['placebo', 'mean', 'who', 'baseline', 'deciliter', 'hemoglobin level', 'after', 'roxadustat', 'by', 'to', 'and']","['placebo', 'mean', 'baseline', 'after', 'roxadustat']",773,"['在接受 placebo 的患者中,平均血球水平从基线上增加了 2.0 ± 1.5 克每分克后交叉接收Roxadustat;在 43 名患者中,31 名患者( 72% )的血球水平超过 11.0 克每分克;在 37 名患者( 86%)的血球水平在 23 至 27 周内超过 10.0 克每分克。']",0.3636363636363636,"['placebo', 'mean', 'who', 'baseline', 'deciliter', 'hemoglobin level', 'after', 'roxadustat', 'by', 'to', 'and']","['mean', 'baseline', 'after', 'by']",773,在最初接受了安慰剂的患者中，平均血红蛋白水平在转换到接受罗沙达斯特后从基线上升了2.0±1.5 g/dL；31名患者（72%）的血红蛋白水平在23-27周期间超过了11.0 g/dL，37名患者（86%）的血红蛋白水平在期间达到了10.0 g/dL或以上。,0.4545454545454545,"['placebo', 'mean', 'who', 'baseline', 'deciliter', 'hemoglobin level', 'after', 'roxadustat', 'by', 'to', 'and']","['placebo', 'mean', 'baseline', 'after', 'by']",,,,
